Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Category Id 1,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-APRICOT-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-APRICOT-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-APRICOT-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-BREAKFAST-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-BREAKFAST-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-BREAKFAST-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-CACAO-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-CACAO-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-CACAO-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,calendula-tea,Calendula Tea,,"Calendula is a fresh, light and very drinkable cup of tea. It has an earthy flavour at its base. The other prominent flavours include a hint of spiciness and a pepper flavour. The most impressive health benefit of calendula is its ability to improve the appearance of the skin and as a treatment for candida. Benefits attributed to: - Skin and eye care - Oral health - Reduces inflammation - Eliminates cramps",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-CALENDULA-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,calendula-tea,Calendula Tea,,"Calendula is a fresh, light and very drinkable cup of tea. It has an earthy flavour at its base. The other prominent flavours include a hint of spiciness and a pepper flavour. The most impressive health benefit of calendula is its ability to improve the appearance of the skin and as a treatment for candida. Benefits attributed to: - Skin and eye care - Oral health - Reduces inflammation - Eliminates cramps",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-CALENDULA-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,calendula-tea,Calendula Tea,,"Calendula is a fresh, light and very drinkable cup of tea. It has an earthy flavour at its base. The other prominent flavours include a hint of spiciness and a pepper flavour. The most impressive health benefit of calendula is its ability to improve the appearance of the skin and as a treatment for candida. Benefits attributed to: - Skin and eye care - Oral health - Reduces inflammation - Eliminates cramps",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-CALENDULA-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,chamomile-tea,Chamomile Tea,,"Finalist in Blas na hEireann (Irish Food Awards) in 2021. Chamomile has gentle notes of apple, with a honey-like sweetness. It has a silky mouth feel with a clean, delicately floral taste, and even from the very first sip it feels wonderfully soothing. It has been praised over the years for its health benefits for digestion, skin complaints, relieving hay fever, easing anxiety and promoting peaceful sleep. Benefits attributed to: - Eases anxiety and promotes peaceful sleep - Diuretic, reduces weight caused by bloating - Full of antioxidants - Great for the skin (anti-ageing) and the hair",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-CHAMOMILE-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,chamomile-tea,Chamomile Tea,,"Finalist in Blas na hEireann (Irish Food Awards) in 2021. Chamomile has gentle notes of apple, with a honey-like sweetness. It has a silky mouth feel with a clean, delicately floral taste, and even from the very first sip it feels wonderfully soothing. It has been praised over the years for its health benefits for digestion, skin complaints, relieving hay fever, easing anxiety and promoting peaceful sleep. Benefits attributed to: - Eases anxiety and promotes peaceful sleep - Diuretic, reduces weight caused by bloating - Full of antioxidants - Great for the skin (anti-ageing) and the hair",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-CHAMOMILE-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,chamomile-tea,Chamomile Tea,,"Finalist in Blas na hEireann (Irish Food Awards) in 2021. Chamomile has gentle notes of apple, with a honey-like sweetness. It has a silky mouth feel with a clean, delicately floral taste, and even from the very first sip it feels wonderfully soothing. It has been praised over the years for its health benefits for digestion, skin complaints, relieving hay fever, easing anxiety and promoting peaceful sleep. Benefits attributed to: - Eases anxiety and promotes peaceful sleep - Diuretic, reduces weight caused by bloating - Full of antioxidants - Great for the skin (anti-ageing) and the hair",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-CHAMOMILE-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,dandelion-tea,Dandelion Tea,,"Dandelion has a similar taste to coffee, but it's less acidic and bitter. It has an earthy and herbaceous flavour. Dandelions are one of the rare super foods, and are packed full of vitamins, minerals and fibre. A great tea for getting rid of retained fluid (bloating), which is the hardest weight to lose. Benefits attributed to: - Reduces blood sugars - Supports the liver function - Boosts the immune system - Reduces cholesterol -Reduces weight by getting rid of retained fluid",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-DANDELION-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,dandelion-tea,Dandelion Tea,,"Dandelion has a similar taste to coffee, but it's less acidic and bitter. It has an earthy and herbaceous flavour. Dandelions are one of the rare super foods, and are packed full of vitamins, minerals and fibre. A great tea for getting rid of retained fluid (bloating), which is the hardest weight to lose. Benefits attributed to: - Reduces blood sugars - Supports the liver function - Boosts the immune system - Reduces cholesterol -Reduces weight by getting rid of retained fluid",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-DANDELION-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,dandelion-tea,Dandelion Tea,,"Dandelion has a similar taste to coffee, but it's less acidic and bitter. It has an earthy and herbaceous flavour. Dandelions are one of the rare super foods, and are packed full of vitamins, minerals and fibre. A great tea for getting rid of retained fluid (bloating), which is the hardest weight to lose. Benefits attributed to: - Reduces blood sugars - Supports the liver function - Boosts the immune system - Reduces cholesterol -Reduces weight by getting rid of retained fluid",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-DANDELION-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,dittany-tea,Dittany Tea,,"Dittany has a strong, sharp and slightly bitter flavour, with a savoury nuance that reminds you of thyme. The scent is reminiscent of lemon and lavender. It is a powerful, restorative healing herb and is famed as a love potion in Greek mythology. Benefits attributed to: - Aids weight loss by stimulating the digestive system - Soothes the stomach and intestines - Anti-cellulite and anti-ageing - Good for colds and flu",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-DITTANY-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,dittany-tea,Dittany Tea,,"Dittany has a strong, sharp and slightly bitter flavour, with a savoury nuance that reminds you of thyme. The scent is reminiscent of lemon and lavender. It is a powerful, restorative healing herb and is famed as a love potion in Greek mythology. Benefits attributed to: - Aids weight loss by stimulating the digestive system - Soothes the stomach and intestines - Anti-cellulite and anti-ageing - Good for colds and flu",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-DITTANY-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,dittany-tea,Dittany Tea,,"Dittany has a strong, sharp and slightly bitter flavour, with a savoury nuance that reminds you of thyme. The scent is reminiscent of lemon and lavender. It is a powerful, restorative healing herb and is famed as a love potion in Greek mythology. Benefits attributed to: - Aids weight loss by stimulating the digestive system - Soothes the stomach and intestines - Anti-cellulite and anti-ageing - Good for colds and flu",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-DITTANY-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,devils-claw-tea,Devil's Claw Tea,,"Devil's Claw does not have an odour, but it does have a slightly bitter taste. It is used for ""hardening of the arteries"" (atherosclerosis), arthritis, gout, muscle pain (myalgia), back pain, fibromyalgia and tendonitis. Benefits attributed to: - Relief from arthritis - Relief from muscle pain - Relief from back pain - Relief from tendonitis -Apply to the skin for injuries and other skin conditions",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-DEVILS-CLAW-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,devils-claw-tea,Devil's Claw Tea,,"Devil's Claw does not have an odour, but it does have a slightly bitter taste. It is used for ""hardening of the arteries"" (atherosclerosis), arthritis, gout, muscle pain (myalgia), back pain, fibromyalgia and tendonitis. Benefits attributed to: - Relief from arthritis - Relief from muscle pain - Relief from back pain - Relief from tendonitis -Apply to the skin for injuries and other skin conditions",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-DEVILS-CLAW-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,devils-claw-tea,Devil's Claw Tea,,"Devil's Claw does not have an odour, but it does have a slightly bitter taste. It is used for ""hardening of the arteries"" (atherosclerosis), arthritis, gout, muscle pain (myalgia), back pain, fibromyalgia and tendonitis. Benefits attributed to: - Relief from arthritis - Relief from muscle pain - Relief from back pain - Relief from tendonitis -Apply to the skin for injuries and other skin conditions",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-DEVILS-CLAW-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,earl-grey-tea,Earl Grey Tea,,"Earl Grey tea is a classic black tea flavoured with bergamot oil, giving it a distinctive citrusy and floral aroma. This traditional blend offers a refined and elegant taste that has been enjoyed for centuries. The bergamot oil adds a bright, refreshing note to the robust black tea base, creating a well-balanced and sophisticated cup. Benefits attributed to: - Provides gentle energy boost from natural caffeine - Rich in antioxidants that support heart health - May help improve mental alertness and focus - Supports digestive health",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-EARL-GREY-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,earl-grey-tea,Earl Grey Tea,,"Earl Grey tea is a classic black tea flavoured with bergamot oil, giving it a distinctive citrusy and floral aroma. This traditional blend offers a refined and elegant taste that has been enjoyed for centuries. The bergamot oil adds a bright, refreshing note to the robust black tea base, creating a well-balanced and sophisticated cup. Benefits attributed to: - Provides gentle energy boost from natural caffeine - Rich in antioxidants that support heart health - May help improve mental alertness and focus - Supports digestive health",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-EARL-GREY-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,earl-grey-tea,Earl Grey Tea,,"Earl Grey tea is a classic black tea flavoured with bergamot oil, giving it a distinctive citrusy and floral aroma. This traditional blend offers a refined and elegant taste that has been enjoyed for centuries. The bergamot oil adds a bright, refreshing note to the robust black tea base, creating a well-balanced and sophisticated cup. Benefits attributed to: - Provides gentle energy boost from natural caffeine - Rich in antioxidants that support heart health - May help improve mental alertness and focus - Supports digestive health",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-EARL-GREY-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,echinacea-tea,Echinacea Tea,,"The taste of Echinacea tea is often described as tongue-tingling. In fact, some regard this quality as evidence of the herb's effectiveness. Echinacea is commonly combined with mint or honey to make a more pleasant-tasting tea. It is most famous for boosting the immune system. Benefits attributed to: - Helps to fight colds and flu - Assists in controlling blood sugar - Helps manage anxiety - Lowers blood pressure",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-ECHINACEA-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,echinacea-tea,Echinacea Tea,,"The taste of Echinacea tea is often described as tongue-tingling. In fact, some regard this quality as evidence of the herb's effectiveness. Echinacea is commonly combined with mint or honey to make a more pleasant-tasting tea. It is most famous for boosting the immune system. Benefits attributed to: - Helps to fight colds and flu - Assists in controlling blood sugar - Helps manage anxiety - Lowers blood pressure",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-ECHINACEA-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,echinacea-tea,Echinacea Tea,,"The taste of Echinacea tea is often described as tongue-tingling. In fact, some regard this quality as evidence of the herb's effectiveness. Echinacea is commonly combined with mint or honey to make a more pleasant-tasting tea. It is most famous for boosting the immune system. Benefits attributed to: - Helps to fight colds and flu - Assists in controlling blood sugar - Helps manage anxiety - Lowers blood pressure",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-ECHINACEA-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,fennel-tea,Fennel Tea,,"Fennel tea has a sweet, licorice-like flavour with a warm, aromatic quality. It is well-known for its digestive properties and has been used for centuries to support digestive health. The tea has a pleasant, slightly sweet taste that is both soothing and refreshing. Fennel is particularly valued for its ability to ease digestive discomfort and promote healthy digestion. Benefits attributed to: - Supports healthy digestion and reduces bloating - Helps relieve digestive discomfort and indigestion - May help reduce gas and stomach cramps - Contains antioxidants that support overall wellness",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-FENNEL-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,fennel-tea,Fennel Tea,,"Fennel tea has a sweet, licorice-like flavour with a warm, aromatic quality. It is well-known for its digestive properties and has been used for centuries to support digestive health. The tea has a pleasant, slightly sweet taste that is both soothing and refreshing. Fennel is particularly valued for its ability to ease digestive discomfort and promote healthy digestion. Benefits attributed to: - Supports healthy digestion and reduces bloating - Helps relieve digestive discomfort and indigestion - May help reduce gas and stomach cramps - Contains antioxidants that support overall wellness",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-FENNEL-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,fennel-tea,Fennel Tea,,"Fennel tea has a sweet, licorice-like flavour with a warm, aromatic quality. It is well-known for its digestive properties and has been used for centuries to support digestive health. The tea has a pleasant, slightly sweet taste that is both soothing and refreshing. Fennel is particularly valued for its ability to ease digestive discomfort and promote healthy digestion. Benefits attributed to: - Supports healthy digestion and reduces bloating - Helps relieve digestive discomfort and indigestion - May help reduce gas and stomach cramps - Contains antioxidants that support overall wellness",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-FENNEL-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,green-tea,Green Tea,,"Green tea (contains caffeine) is typically green, yellow or light brown in colour, and its flavour profile can range from grass-like to vegetal and sweet. Our green tea is Royal Gunpowder and if you know your green teas you will know that it is excellent and hard to match taste and quality wise. The many health benefits of green tea make it a great drink to include in your diet. Benefits attributed to: - Can provide heart benefits - Helps to lower cholesterol - Assists in reducing inflammation - Aids focus and attention span",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-GREEN-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,green-tea,Green Tea,,"Green tea (contains caffeine) is typically green, yellow or light brown in colour, and its flavour profile can range from grass-like to vegetal and sweet. Our green tea is Royal Gunpowder and if you know your green teas you will know that it is excellent and hard to match taste and quality wise. The many health benefits of green tea make it a great drink to include in your diet. Benefits attributed to: - Can provide heart benefits - Helps to lower cholesterol - Assists in reducing inflammation - Aids focus and attention span",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-GREEN-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,green-tea,Green Tea,,"Green tea (contains caffeine) is typically green, yellow or light brown in colour, and its flavour profile can range from grass-like to vegetal and sweet. Our green tea is Royal Gunpowder and if you know your green teas you will know that it is excellent and hard to match taste and quality wise. The many health benefits of green tea make it a great drink to include in your diet. Benefits attributed to: - Can provide heart benefits - Helps to lower cholesterol - Assists in reducing inflammation - Aids focus and attention span",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-GREEN-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,hibiscus-tea,Hibiscus Tea,,"Hibiscus tea has a flavour profile that includes fruity, sweet, sour, and astringent notes. It is often compared to cranberries due to its tart yet sweet flavour. It is frequently brewed hot, but also makes an excellent iced tea. It's health benefits include its ability to reduce high blood pressure, high cholesterol, and inflammatory problems. Benefits attributed to: - Relief from headaches/ migraine - Relieves menstrual pain - Anti-depressant - Improves heart health and blood circulation",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-HIBISCUS-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,hibiscus-tea,Hibiscus Tea,,"Hibiscus tea has a flavour profile that includes fruity, sweet, sour, and astringent notes. It is often compared to cranberries due to its tart yet sweet flavour. It is frequently brewed hot, but also makes an excellent iced tea. It's health benefits include its ability to reduce high blood pressure, high cholesterol, and inflammatory problems. Benefits attributed to: - Relief from headaches/ migraine - Relieves menstrual pain - Anti-depressant - Improves heart health and blood circulation",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-HIBISCUS-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,hibiscus-tea,Hibiscus Tea,,"Hibiscus tea has a flavour profile that includes fruity, sweet, sour, and astringent notes. It is often compared to cranberries due to its tart yet sweet flavour. It is frequently brewed hot, but also makes an excellent iced tea. It's health benefits include its ability to reduce high blood pressure, high cholesterol, and inflammatory problems. Benefits attributed to: - Relief from headaches/ migraine - Relieves menstrual pain - Anti-depressant - Improves heart health and blood circulation",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-HIBISCUS-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,jasmine-tea,Jasmine Tea,,"Jasmine tea has a delicate and subtle flavour profile with sweet floral notes, a fresh finish and a perfumed aroma. It is popular around the globe - and not only for its good taste! It has many health benefits that include improved cardiovascular health, stronger immune system, and prevention of diabetes. Benefits attributed to: - Boosts energy - Weight loss aid - Protects heart health - Relieves stress",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-JASMINE-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,jasmine-tea,Jasmine Tea,,"Jasmine tea has a delicate and subtle flavour profile with sweet floral notes, a fresh finish and a perfumed aroma. It is popular around the globe - and not only for its good taste! It has many health benefits that include improved cardiovascular health, stronger immune system, and prevention of diabetes. Benefits attributed to: - Boosts energy - Weight loss aid - Protects heart health - Relieves stress",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-JASMINE-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
